proba_HAP,proba_Renovasc,proba_PPGL,proba_HTAe,groupe,name
10.445,16.571,1.455,73.087,atcd_cv_1 / fc_2_0 / ldl_1_1 / tabac_actif_1,G1
13.591,14.562,1.9,71.534,anciennete_hta_1_1 / atcd_cv_1 / gaj_1 / tabac_actif_1,G2
8.785,18.186,1.579,74.342,diabete_0 / pas_1_1 / perim_abdo_f_0 / ttt_statine_1,G3
19.853,15.437,0.751,68.629,fc_1_0 / mdrd_0 / pas_3_1 / ttt_hta_bsra_0,G4
13.614,17.779,0.747,71.298,fc_1_1 / imc_2_0 / mdrd_0 / pas_3_1,G5
14.143,16.738,1.515,69.684,atcd_cv_1 / hdl_h_0 / heredite_0,G6
8.84,15.839,1.298,74.664,anciennete_hta_1_0 / atcd_cv_1 / hta_nc_1,G7
10.103,21.521,2.298,71.202,age_2_0 / imc_1_0 / mdrd_0,G8
5.87,18.07,1.436,75.959,age_2_1 / anciennete_hta_2_0 / imc_1_0 / mdrd_0,G9
17.687,15.78,1.08,68.168,hdl_f_0 / hdl_h_0 / mdrd_0 / nb_ttt_1_1,G10
11.784,16.487,2.991,71.815,diabete_1 / imc_2_0 / mdrd_0 / pad_3_0,G11
18.147,17.58,0.419,68.947,atcd_cv_1 / atcd_intolerance_ttt_hta_1 / ldl_1_0,G12
13.779,15.083,0.631,72.513,age_1_1 / fc_2_0 / pas_2_1 / ttt_hta_da_1,G13
11.884,13.553,2.223,70.741,ttt_hta_bsra_0 / ttt_hta_da_1,G14
7.45,14.605,6.902,74.243,diabete_1 / imc_1_0 / pad_1_0 / sexe_1,G15
13.275,19.757,0.83,69.319,atcd_cv_1 / imc_2_0 / pad_2_0 / ttt_hta_ic_1,G16
4.156,19.697,1.861,78.621,anciennete_hta_2_0 / imc_1_0 / ka_2_1 / mdrd_0,G17
NA,18.643,NA,75.923,age_3_1 / ttt_hta_da_1,G18
NA,11.728,NA,83.147,age_3_1 / hdl_h_0 / htar_0 / ka_2_1,G19
7.862,15.944,1.053,75.414,hdl_f_0 / palpitations_0 / ttt_hta_antialdo_0 / ttt_hta_da_1,G20
8.86,16.947,2.153,74.701,pas_2_1 / perim_abdo_f_0 / ttt_statine_1,G21
21.419,16.896,0.605,65.954,hdl_h_0 / mdrd_0 / pas_3_1,G22
NA,11.578,NA,80.076,age_3_1 / fc_1_0 / hdl_h_0,G23
NA,19.648,NA,80.871,age_3_1 / anciennete_hta_1_0 / mdrd_0,G24
9.301,17.615,2.325,74.665,age_2_0 / taille_1_0 / ttt_hta_da_1,G25
9.862,13.598,1.23,76.207,atcd_cv_1 / ka_3_0 / sport_1 / ttt_hta_alphab_0,G26
11.469,20.504,1.164,70.146,atcd_depression_0 / pad_3_0 / pas_3_1 / ttt_hta_da_1,G27
8.036,19.13,2.04,73.315,imc_2_0 / ttt_hta_da_1,G28
9.7,21.214,1.039,73.58,atcd_cv_1 / pad_3_0 / sexe_0 / ttt_hta_bb_1,G29
12.732,17.705,1.438,69.199,atcd_cv_1 / hdl_h_0 / htar_0 / tabac_actif_1,G30
18.044,20.645,1.018,66.728,imc_2_0 / nb_ttt_2_1 / pas_3_1 / ttt_statine_1,G31
16.547,16.239,1.146,66.354,anciennete_hta_2_0 / mdrd_0 / ttt_hta_ic_1 / ttt_hta_thiazide_0,G32
8.693,17.856,0.931,76.328,atcd_cv_1 / hta_nc_0 / sexe_0 / taille_2_0,G33
10.454,20.396,3.042,71.546,imc_1_0 / pas_max_2_1 / ttt_statine_1,G34
12.369,14.838,0.928,72.016,age_1_1 / hdl_f_0 / pas_2_1 / ttt_hta_da_1,G35
15.617,21.011,1.077,66.378,atcd_cv_1 / nb_ttt_1_1 / taille_1_0 / ttt_hta_thiazide_0,G36
16.133,17.552,1.318,70.437,age_2_0 / ldl_1_0 / mdrd_0,G37
11.406,20.139,1.102,70.142,ldl_1_0 / ttt_hta_bb_1 / ttt_hta_da_1,G38
9.414,22.238,2.451,69.195,heredite_0 / imc_1_0 / mdrd_0 / ttt_hta_thiazide_0,G39
8.813,16.952,1.117,75.737,atcd_cv_1 / sport_1 / taille_2_0,G40
11.779,13.805,2.064,72.744,diabete_1 / gaj_1 / pad_3_0 / ttt_hta_da_1,G41
10.997,13.196,1.403,72.502,pad_3_0 / pas_1_1 / taille_2_1 / ttt_hta_da_1,G42
17.135,21.843,0.572,65.331,mdrd_0 / ttt_hta_vasodil_1,G43
5.837,19.033,1.361,75.363,imc_1_0 / ka_3_1 / nb_ttt_2_1 / pas_1_1,G44
12.487,17.821,0.765,71.892,fc_1_0 / ttt_hta_bb_1 / ttt_hta_da_1,G45
NA,14.05,NA,82.281,age_3_1 / anciennete_hta_2_0 / hdl_f_0 / ttt_hta_bb_1,G46
10.794,18.123,2.646,72.59,atcd_intolerance_ttt_hta_0 / imc_2_0 / ttt_hta_bb_1 / ttt_statine_1,G47
8.291,14.832,1.574,77.359,anciennete_hta_1_0 / fc_2_0 / ttt_statine_1,G48
9.138,19.142,1.439,71.642,tabac_actif_1 / ttt_hta_da_1,G49
19.275,17.244,0.49,65.57,age_1_1 / atcd_depression_0 / ttt_hta_ic_1 / ttt_hta_vasodil_1,G50
13.923,17.76,0.949,70.199,mdrd_0 / taille_1_0 / ttt_hta_ic_1,G51
14.918,19.596,1.701,69.832,age_2_0 / atcd_cv_1 / ttt_hta_bb_1,G52
NA,17.372,NA,71.741,age_3_1 / ka_3_0 / mdrd_0 / nb_ttt_2_1,G53
NA,14.449,NA,82.585,age_3_1 / pad_1_0 / tabac_actif_1 / trigly_1,G54
12.547,16.503,1.241,69.913,hdl_h_0 / ttt_hta_da_1,G55
22.747,12.562,0.751,68.328,atcd_intolerance_ttt_hta_1 / hdl_h_0 / taille_1_1 / ttt_statine_1,G56
25.774,17.578,1.434,58.782,mdrd_0 / nb_ttt_1_1 / ttt_hta_bsra_0,G57
11.098,16.239,0.005,73.259,pas_2_0 / ttt_hta_antialdo_0 / ttt_hta_vasodil_1,G58
20.615,13.738,0.644,69.719,hdl_h_0 / pad_2_0 / pas_3_1 / ttt_hta_bb_1,G59
6.401,24.435,2.537,71.329,imc_1_0 / ttt_hta_da_1,G60
3.989,14.324,1.336,81.814,anciennete_hta_1_0 / nb_ttt_1_1 / perim_abdo_f_0 / ttt_hta_thiazide_1,G61
11.82,19.909,1.936,70.633,age_2_0 / atcd_cv_1 / tabac_actif_1,G62
NA,17.647,NA,74.151,age_3_1 / hdl_h_0 / mdrd_0,G63
5.736,19.145,0.986,75.978,atcd_cv_1 / atcd_depression_0 / ka_3_1 / nb_ttt_2_1,G64
11.813,17.547,1.165,73.365,imc_2_0 / pas_3_1 / ttt_hta_alphab_0 / ttt_statine_1,G65
15.075,18.976,1.147,67.489,imc_2_0 / mdrd_0 / ttt_hta_ic_1,G66
9.139,15.157,1.544,75.896,atcd_cv_1 / hdl_h_1 / sport_1,G67
2.072,12.57,2.819,84.392,hdl_f_0 / imc_1_0 / ka_3_1 / pas_1_0,G68
9.397,14.186,0.375,77.955,atcd_cv_1 / heredite_0 / pas_max_2_0,G69
10.839,15.032,1.101,73.759,pad_2_0 / pas_2_1 / ttt_hta_da_1,G70
7.791,23.663,3.426,70.958,imc_1_0 / tabac_actif_1 / ttt_statine_1,G71
10.154,19.633,0.805,71.886,anciennete_hta_1_0 / mdrd_0 / perim_abdo_h_0 / ttt_hta_ic_1,G72
9.496,17.766,2.028,72.828,hdl_f_0 / imc_1_0 / ttt_hta_bb_1,G73
21.279,13.552,0.601,67.419,atcd_saos_1 / mdrd_0,G74
18.298,16.906,1.146,64.801,atcd_cv_1 / ttt_hta_ic_1 / ttt_hta_thiazide_0,G75
9.149,13.394,1.271,77.218,anciennete_hta_1_0 / hdl_f_0 / nb_ttt_1_1 / taille_1_0,G76
14.396,18.478,0.854,70.248,atcd_cv_1 / pad_3_0 / pas_1_1 / ttt_hta_bb_1,G77
8.189,22.528,1.461,71.989,atcd_cv_1 / imc_1_0,G78
8.361,13.396,1.477,74.286,hdl_f_0 / ka_1_1 / taille_2_1 / ttt_hta_da_1,G79
6.346,14.819,0.879,75.859,ka_3_1 / ldl_1_0 / mdrd_0 / pad_1_1,G80
NA,15.388,NA,73.005,age_3_1 / hdl_h_0 / ka_3_0 / ttt_statine_1,G81
7.953,16.916,2.342,74.255,perim_abdo_f_0 / perim_abdo_h_0 / taille_1_1 / ttt_statine_1,G82
5.725,22.612,1.382,74.979,anciennete_hta_1_0 / imc_1_0 / mdrd_0 / palpitations_0,G83
12.858,20.029,1.147,69.708,anciennete_hta_2_0 / imc_2_0 / mdrd_0 / nb_ttt_2_1,G84
NA,18.522,NA,76.533,age_3_1 / atcd_cv_1,G85
12.289,15.726,2.123,71.424,atcd_cv_1 / gaj_1 / tabac_actif_1,G86
7.24,11.443,0.27,81.522,atcd_cv_1 / pas_max_1_0,G87
13.064,16.77,1.663,70.968,age_2_0 / hdl_f_0 / ttt_hta_da_1,G88
12.358,13.09,0.468,74.939,imc_2_0 / mdrd_0 / pas_max_1_0 / ttt_hta_ic_1,G89
17.918,11.213,1.185,72.045,hdl_f_1 / pas_3_1 / ttt_hta_bb_1 / ttt_hta_bsra_0,G90
12.715,14.913,1.232,72.276,hdl_h_0 / mdrd_0 / ttt_hta_antialdo_0,G91
16.145,12.877,2.361,69.854,atcd_cv_1 / gaj_1 / sueurs_0 / ttt_hta_thiazide_0,G92
12.689,17.568,0.646,72.251,atcd_cv_1 / imc_2_0 / pas_1_1 / sueurs_0,G93
8.718,15.99,1.055,75.319,age_2_1 / anciennete_hta_2_0 / mdrd_0 / ttt_hta_bb_1,G94
13.011,23.576,0.889,68.111,atcd_cv_1 / mdrd_0,G95
8.912,18.312,2.457,72.363,imc_1_0 / nb_ttt_1_1 / tabac_actif_1 / ttt_hta_antialdo_0,G96
